user56 129.108.7.127 03:10 running  
user56 129.108.7.127 01:48 03:10 (01:21) 
user56 129.108.7.127 01:40 01:45 (00:05) 
user52 129.108.7.127 01:17 01:18 (00:00) 
user48 129.108.7.21 16:12 down (05:33) 
user52 129.108.7.21 12:40 12:44 (00:04) 
user52 129.108.7.21 12:38 12:39 (00:00) 
user52 129.108.7.21 12:31 12:38 (00:06) 
user52 129.108.7.21 12:07 12:10 (00:02) 
user52 129.108.7.21 12:07 12:07 (00:00) 
user52 129.108.7.21 10:58 12:06 (01:08) 
user52 129.108.7.21 10:56 10:57 (00:01) 
user52 129.108.7.21 10:30 10:31 (00:00) 
user52 129.108.7.21 22:43 23:30 (00:47) 
user52 129.108.7.21 21:39 22:41 (01:01) 
user52 129.108.7.21 21:38 21:39 (00:00) 
user58 129.108.7.21 21:19 21:36 (00:17) 
user58 129.108.7.21 21:18 21:18 (00:00) 
